diff_rep,diff_dem,same_school,same_gender,same_party,both_leader,same_state,same_vote_prop,same_vote
8.838926501,9.776130234,0.0,0,1,0,0,0.1111111111111111,0
7.860572041,9.368791474,0.0,0,1,0,0,0.1111111111111111,0
8.838926501,8.879984963,0.0,0,0,0,0,0.1111111111111111,0
6.9834266629999995,7.454299303999999,0.0,0,0,0,0,0.2222222222222222,0
9.412444633,8.472646203,0.0,0,0,0,0,0.1111111111111111,0
8.501562894,8.024573567,0.0,0,0,0,0,0.1111111111111111,0
9.682335518,7.820904186999999,0.0,0,0,0,0,0.0,0
7.961781123,7.698702558999999,0.0,0,0,0,0,0.1111111111111111,0
8.906399222,8.024573567,0.0,0,0,0,0,0.1111111111111111,0
8.501562894,8.350444575,0.0,0,0,0,0,0.1111111111111111,0
8.501562894,8.146775195,0.0,0,0,0,0,0.0,0
8.670244698,9.246589846,0.0,0,1,0,0,0.1111111111111111,0
8.973871944,8.676315583,0.0,0,0,0,0,0.0,0
8.231672009,9.898331862,0.0,0,1,0,0,0.1111111111111111,0
8.400353812,10.102001242,0.0,0,1,0,0,0.1111111111111111,0
8.838926501,8.676315583,0.0,0,0,0,0,0.1111111111111111,0
8.366617451,8.350444575,0.0,0,0,0,0,0.0,0
8.838926501,10.102001242,0.0,0,1,0,0,0.1111111111111111,0
12.280035292,11.405485273,0.0,0,1,0,0,0.0,0
7.860572041,7.943105814999999,0.0,0,1,0,0,0.0,0
8.670244698,8.554113955,0.0,0,0,0,0,0.0,0
8.029253844,9.572460854,0.0,0,1,0,0,0.3333333333333333,0
7.961781123,7.617234806999999,0.0,0,1,0,0,0.1111111111111111,0
5.9038631210000005,8.717049459,0.0,0,1,0,0,0.3333333333333333,0
8.906399222,9.898331862,0.0,0,1,0,0,0.2222222222222222,0
8.906399222,7.698702558999999,0.0,0,0,0,0,0.0,0
8.569035616,9.572460854,0.0,0,1,0,0,0.1111111111111111,0
9.176290108,7.372831551999999,0.0,0,0,0,0,0.0,0
8.332881091,8.146775195,0.0,0,0,0,0,0.1111111111111111,0
8.467826533,10.102001242,0.0,0,1,0,0,0.1111111111111111,0
8.231672009,8.676315583,0.0,0,1,0,0,0.1111111111111111,0
7.860572041,7.08769442,0.0,0,0,0,0,0.0,0
12.280035292,11.405485273,0.0,0,0,0,0,0.0,0
9.007608304,8.350444575,0.0,0,0,0,0,0.0,0
8.231672009,9.776130234,0.0,0,1,0,0,0.1111111111111111,0
9.344971911,7.820904186999999,0.0,0,0,0,0,0.0,0
7.725626598,7.169162171999999,0.0,0,0,0,0,0.2222222222222222,0
8.231672009,7.739436435,0.0,0,1,0,0,0.3333333333333333,0
9.581126436,8.879984963,0.0,0,1,0,0,0.1111111111111111,0
8.062990205,7.372831551999999,0.0,0,0,0,0,0.1111111111111111,0
7.860572041,8.757783335,0.0,0,1,0,0,0.1111111111111111,0
8.130462927,7.902371938999999,0.0,0,0,0,0,0.1111111111111111,0
9.479917354,7.291363799999999,0.0,0,0,0,0,0.2222222222222222,0
8.231672009,9.246589846,0.0,0,1,0,0,0.1111111111111111,0
9.682335518,8.065307443,0.0,0,1,0,0,0.2222222222222222,0
9.344971911,8.146775195,0.0,0,0,0,0,0.1111111111111111,0
9.007608304,10.102001242,0.0,0,1,0,0,0.1111111111111111,0
9.176290108,9.898331862,0.0,0,1,0,0,0.1111111111111111,0
8.400353812,7.902371938999999,0.0,0,0,0,0,0.1111111111111111,0
8.703981058,10.142735118,0.0,0,1,0,0,0.1111111111111111,0
7.590681155,9.124388219,0.0,0,1,0,0,0.2222222222222222,0
8.231672009,8.187509071,0.0,0,1,0,0,0.1111111111111111,0
8.569035616,8.146775195,0.0,0,0,0,0,0.1111111111111111,0
8.501562894,8.920718839,0.0,0,1,0,0,0.1111111111111111,0
8.737717418999999,8.350444575,0.0,0,0,0,0,0.1111111111111111,0
8.332881091,8.431912327,0.0,0,0,0,0,0.1111111111111111,0
9.513653715,8.146775195,0.0,0,0,0,0,0.1111111111111111,0
8.973871944,8.554113955,0.0,0,0,0,0,0.0,0
8.231672009,9.653928606,0.0,0,1,0,0,0.1111111111111111,0
8.164199287,7.902371938999999,0.0,0,0,0,0,0.1111111111111111,0
9.075081026,7.169162171999999,0.0,0,0,0,0,0.0,0
7.523208434,8.106041319,0.0,0,1,0,0,0.1111111111111111,0
9.075081026,8.146775195,0.0,0,0,0,0,0.0,0
7.860572041,9.042920467,0.0,0,1,0,0,0.2222222222222222,0
7.860572041,8.798517211,0.0,0,1,0,0,0.1111111111111111,0
8.332881091,8.676315583,0.0,0,0,0,0,0.0,0
8.501562894,9.776130234,0.0,0,1,0,0,0.2222222222222222,0
9.682335518,8.268976823,0.0,0,0,0,0,0.0,0
8.400353812,7.617234806999999,0.0,0,0,0,0,0.0,0
9.243762829,8.472646203,0.0,0,0,0,0,0.0,0
8.332881091,9.898331862,0.0,0,1,0,0,0.1111111111111111,0
8.231672009,8.350444575,0.0,0,0,0,0,0.0,0
8.467826533,8.472646203,0.0,0,0,0,0,0.0,0
8.231672009,8.268976823,0.0,0,0,0,0,0.0,0
7.32079027,8.513380079,0.0,0,1,0,0,0.1111111111111111,0
9.513653715,8.676315583,0.0,0,0,0,0,0.0,0
